id,name,region,platforms,missing_dedicated_destinations,model,score_breakdown,official_url,english_description,english_features,last_verified,pricing_source,pricing_last_checked,latest_major_update,available_countries,free_trial_requirements,affiliate_disclosure,logo,missing_count,action
playht,PlayHT,overseas,web;api,api,false,false,false,false,false,true,true,true,true,true,true,true,false,8,REVIEW_PRIORITY
speechify,Speechify,overseas,web;ios;android;extension;desktop,app;plugin;desktop,false,false,false,false,false,true,true,true,true,true,true,true,true,11,REVIEW_PRIORITY
codeium,Codeium,overseas,web;extension;desktop,plugin;desktop,false,false,false,false,false,true,true,true,true,true,true,true,false,9,REVIEW_PRIORITY
tabnine,Tabnine,overseas,web;macos;windows;linux;extension,plugin;desktop,false,false,false,false,false,true,true,true,true,true,true,true,false,9,REVIEW_PRIORITY
cody,Sourcegraph Cody,overseas,web;macos;windows;linux;extension,plugin;desktop,false,false,false,false,false,true,true,true,true,true,true,true,false,9,REVIEW_PRIORITY
otter,Otter.ai,overseas,web;ios;android,app,false,false,false,false,false,true,true,true,true,true,true,true,false,8,REVIEW_PRIORITY
fireflies,Fireflies.ai,overseas,web;extension;api,plugin;api,false,false,false,false,false,true,true,true,true,true,true,true,false,9,REVIEW_PRIORITY
descript,Descript,overseas,web;macos;windows,desktop,false,false,false,false,false,true,true,true,true,true,true,true,false,8,REVIEW_PRIORITY
iflyrec,讯飞听见,domestic,web;android;ios;api;wechat,app;api,false,false,false,false,false,true,true,true,true,true,true,true,false,9,REVIEW_PRIORITY
wordtune,Wordtune,overseas,web;extension;desktop;ios;android,app;plugin;desktop,false,false,false,false,false,true,true,true,true,true,true,true,false,10,REVIEW_PRIORITY
you,You.com,overseas,web;extension,plugin,false,false,false,false,false,true,true,true,true,true,true,true,false,8,REVIEW_PRIORITY
phind,Phind,overseas,web,,false,false,false,false,false,true,true,true,true,true,true,true,false,7,REVIEW_PRIORITY
framer,Framer,overseas,web;macos;windows;linux;ios;android,app;desktop,false,false,false,false,false,true,true,true,true,true,true,true,false,9,REVIEW_PRIORITY
